,../../../baseline/convmixer(100eps),../../../noDefense/convmixer(100eps)/non-IID_30_NoAttack,non-IID_30_NoAttack,../../../others_100/CNN_fashionmnist/fedCVAE/non-IID_30_NoAttack,../../../others_100/CNN_fashionmnist/fedGuard/non-IID_30_NoAttack
0,0.19525252525252526,0.36808080808080806,0.4003076923076923,0.10111111111111111,0.0958
1,0.40393939393939393,0.42313131313131314,0.4158974358974359,0.10020202020202021,0.1558
2,0.5779797979797979,0.5514141414141415,0.572,0.1709090909090909,0.1276
3,0.6295959595959596,0.5861616161616162,0.5102564102564102,0.1003030303030303,0.1041
4,0.38191919191919194,0.39545454545454545,0.3780512820512821,0.24676767676767677,0.0954
5,0.6282828282828283,0.6386868686868686,0.6477948717948718,0.2,0.1283
6,0.6842424242424242,0.6796969696969697,0.6571282051282051,0.18464646464646464,0.0981
7,0.7123232323232324,0.7214141414141414,0.7164102564102565,0.16686868686868686,0.1715
8,0.7071717171717171,0.721010101010101,0.7011282051282052,0.1997979797979798,0.0918
9,0.7711111111111111,0.7422222222222222,0.7518974358974359,0.22585858585858587,0.0997
10,0.43686868686868685,0.44606060606060605,0.43825641025641027,0.3929292929292929,0.1119
11,0.7404040404040404,0.7708080808080808,0.6442051282051282,0.10212121212121213,0.1032
12,0.7964646464646464,0.7786868686868686,0.7895384615384615,0.3388888888888889,0.0837
13,0.805050505050505,0.7853535353535354,0.7535384615384615,0.3209090909090909,0.1025
14,0.7541414141414141,0.7417171717171717,0.7376410256410256,0.23212121212121212,0.1163
15,0.8488888888888889,0.8426262626262626,0.837948717948718,0.37656565656565655,0.1671
16,0.7215151515151516,0.7405050505050506,0.7081025641025641,0.3286868686868687,0.0809
17,0.7523232323232323,0.756969696969697,0.7535384615384615,0.3391919191919192,0.1185
18,0.8007070707070707,0.7795959595959596,0.7945641025641026,0.19838383838383838,0.1003
19,0.8205050505050505,0.8325252525252526,0.8311794871794872,0.425959595959596,0.1131
20,0.7707070707070707,0.7705050505050505,0.7888205128205128,0.3615151515151515,0.1252
21,0.7748484848484849,0.7774747474747474,0.7838974358974359,0.30272727272727273,0.1343
22,0.7575757575757576,0.7576767676767677,0.7449230769230769,0.3433333333333333,0.096
23,0.7147474747474748,0.6966666666666667,0.6316923076923077,0.4532323232323232,0.0526
24,0.6512121212121212,0.6396969696969697,0.6367179487179487,0.3432323232323232,0.1545
25,0.7544444444444445,0.738989898989899,0.7331282051282051,0.296969696969697,0.0556
26,0.8052525252525252,0.7761616161616162,0.7845128205128206,0.39434343434343433,0.0857
27,0.8593939393939394,0.8584848484848485,0.8485128205128205,0.4827272727272727,0.0761
28,0.8355555555555556,0.8466666666666667,0.837025641025641,0.4487878787878788,0.1092
29,0.8009090909090909,0.7643434343434343,0.854051282051282,0.572020202020202,0.132
30,0.85,0.854040404040404,0.8428717948717949,0.3806060606060606,0.0855
31,0.8293939393939394,0.8272727272727273,0.8241025641025641,0.3097979797979798,0.1362
32,0.758989898989899,0.7729292929292929,0.7532307692307693,0.272020202020202,0.0981
33,0.7156565656565657,0.7170707070707071,0.7696410256410257,0.361010101010101,0.0767
34,0.8004040404040405,0.8088888888888889,0.8371282051282052,0.5383838383838384,0.0914
35,0.8397979797979798,0.8318181818181818,0.819076923076923,0.4123232323232323,0.0473
36,0.8677777777777778,0.871010101010101,0.8523076923076923,0.4385858585858586,0.1194
37,0.8649494949494949,0.8592929292929293,0.8596923076923076,0.3790909090909091,0.0682
38,0.8595959595959596,0.8826262626262626,0.8755897435897436,0.23767676767676768,0.1441
39,0.7941414141414141,0.795050505050505,0.7802051282051282,0.5666666666666667,0.0575
40,0.8019191919191919,0.8022222222222222,0.7758974358974359,0.5727272727272728,0.0809
41,0.7738383838383839,0.7467676767676767,0.7872820512820513,0.22484848484848485,0.0905
42,0.8726262626262626,0.8760606060606061,0.8847179487179487,0.62,0.0611
43,0.7227272727272728,0.7463636363636363,0.76,0.5373737373737374,0.1176
44,0.8083838383838384,0.8288888888888889,0.8222564102564103,0.2809090909090909,0.1285
45,0.8368686868686869,0.8560606060606061,0.8694358974358974,0.42272727272727273,0.1377
46,0.7472727272727273,0.7275757575757575,0.7056410256410256,0.5086868686868686,0.1421
47,0.768080808080808,0.7658585858585859,0.7994871794871795,0.36454545454545456,0.1339
48,0.7670707070707071,0.7845454545454545,0.7681025641025641,0.545959595959596,0.1175
49,0.8702020202020202,0.8632323232323232,0.8471794871794872,0.1997979797979798,0.1294
50,0.7835353535353535,0.7702020202020202,0.801025641025641,0.6190909090909091,0.0721
51,0.7773737373737374,0.7236363636363636,0.7133333333333334,0.5203030303030303,0.0599
52,0.8944444444444445,0.8532323232323232,0.8775384615384615,0.5528282828282828,0.0914
53,0.8055555555555556,0.8385858585858585,0.8092307692307692,0.4827272727272727,0.0645
54,0.7856565656565656,0.7723232323232323,0.7944615384615384,0.5027272727272727,0.0863
55,0.8501010101010101,0.8217171717171717,0.8165128205128205,0.5104040404040404,0.0382
56,0.8593939393939394,0.8294949494949495,0.8461538461538461,0.48373737373737374,0.0931
57,0.888080808080808,0.8904040404040404,0.890974358974359,0.47535353535353536,0.0644
58,0.7575757575757576,0.7495959595959596,0.7422564102564102,0.5108080808080808,0.0885
59,0.7406060606060606,0.7416161616161616,0.734051282051282,0.36292929292929293,0.1357
60,0.8944444444444445,0.9127272727272727,0.8927179487179487,0.3396969696969697,0.1367
61,0.8304040404040404,0.8606060606060606,0.8344615384615385,0.47404040404040404,0.0522
62,0.8546464646464647,0.8768686868686869,0.8926153846153846,0.5188888888888888,0.1101
63,0.7816161616161617,0.7466666666666667,0.7535384615384615,0.6093939393939394,0.124
64,0.8324242424242424,0.8190909090909091,0.8108717948717948,0.49737373737373736,0.0937
65,0.8904040404040404,0.8802020202020202,0.8856410256410256,0.3806060606060606,0.0898
66,0.7290909090909091,0.7061616161616162,0.7003076923076923,0.49404040404040406,0.0611
67,0.8822222222222222,0.8661616161616161,0.8751794871794871,0.4666666666666667,0.1126
68,0.833939393939394,0.807070707070707,0.8245128205128205,0.6160606060606061,0.1219
69,0.8496969696969697,0.852020202020202,0.8380512820512821,0.32696969696969697,0.146
70,0.8898989898989899,0.8445454545454546,0.8676923076923077,0.48282828282828283,0.1038
71,0.8938383838383839,0.8936363636363637,0.873948717948718,0.38191919191919194,0.1098
72,0.7858585858585858,0.7331313131313131,0.7627692307692308,0.4816161616161616,0.0835
73,0.8657575757575757,0.814040404040404,0.8457435897435898,0.546060606060606,0.0669
74,0.812020202020202,0.7742424242424243,0.7863589743589744,0.3923232323232323,0.1183
75,0.8912121212121212,0.8083838383838384,0.8372307692307692,0.47868686868686866,0.0555
76,0.7475757575757576,0.742020202020202,0.7213333333333334,0.30292929292929294,0.0901
77,0.83,0.7851515151515152,0.7987692307692308,0.4685858585858586,0.0537
78,0.8687878787878788,0.8648484848484849,0.8553846153846154,0.3888888888888889,0.0657
79,0.9162626262626262,0.8940404040404041,0.8924102564102564,0.5896969696969697,0.073
80,0.8829292929292929,0.8588888888888889,0.8396923076923077,0.5522222222222222,0.0774
81,0.8245454545454546,0.7904040404040404,0.7964102564102564,0.5786868686868687,0.0578
82,0.7824242424242425,0.769090909090909,0.7651282051282051,0.5458585858585858,0.0754
83,0.8994949494949495,0.86989898989899,0.8481025641025641,0.5415151515151515,0.0616
84,0.9030303030303031,0.8586868686868687,0.8641025641025641,0.49777777777777776,0.1391
85,0.8085858585858586,0.7727272727272727,0.7793846153846153,0.47919191919191917,0.1001
86,0.9018181818181819,0.8903030303030303,0.8928205128205128,0.1873737373737374,0.1377
87,0.8173737373737374,0.8517171717171718,0.8340512820512821,0.3885858585858586,0.1047
88,0.7692929292929293,0.7562626262626263,0.7530256410256411,0.6477777777777778,0.0726
89,0.8215151515151515,0.8187878787878788,0.813025641025641,0.5146464646464647,0.086
90,0.8507070707070707,0.8660606060606061,0.8767179487179487,0.27555555555555555,0.0738
91,0.81,0.7671717171717172,0.7977435897435897,0.5286868686868686,0.0654
92,0.9128282828282829,0.8788888888888889,0.889948717948718,0.6101010101010101,0.0591
93,0.7645454545454545,0.6844444444444444,0.7435897435897436,0.5426262626262627,0.0642
94,0.8967676767676768,0.87,0.8897435897435897,0.4801010101010101,0.0799
95,0.7996969696969697,0.7831313131313131,0.7979487179487179,0.5527272727272727,0.087
96,0.8544444444444445,0.8693939393939394,0.8745641025641026,0.5505050505050505,0.0566
97,0.8116161616161616,0.805050505050505,0.807076923076923,0.5882828282828283,0.0383
98,0.8136363636363636,0.7992929292929293,0.7942564102564103,0.6287878787878788,0.0996
99,0.7777777777777778,0.7842424242424243,0.7819487179487179,0.43,0.0835
